wafer_id,angle_deg,thickness_a,delta_from_center_pct,within_spec
W01,0,5061,1.36,true
W01,90,5058,1.30,true
W01,180,5063,1.40,true
W01,270,5060,1.34,true
W05,0,5065,1.53,true
W05,90,5062,1.47,true
W05,180,5068,1.60,true
W05,270,5064,1.52,true
W10,0,5060,1.33,true
W10,90,5065,1.43,true
W10,180,5063,1.39,true
W10,270,5061,1.35,true
W15,0,5059,1.39,true
W15,90,5063,1.47,true
W15,180,5067,1.55,true
W15,270,5065,1.51,true
W20,0,5064,1.54,true
W20,90,5061,1.48,true
W20,180,5068,1.62,true
W20,270,5062,1.50,true
